table pour les couples equivalents
u 	eb		esp 	ecart type		#couple < 65.9		#couple < 63.6
2	0.08	59.82		5.47		85088 : 0.14912		74971 : 0.25029
2	0.09	64.11		5.42		60120 : 0.25029		45547 : 0.54453
2	0.10	67.90		5.37		32535 : 0.67465		20600 : 0.794
3	0.06	73.45		13.5		39949 : 0.60051		31329 : 0.68671
3	0.07	70.26		7.67		25518 : 0.74482		15474 : 0.84526
3	0.04	50.04		8.65		96873 : 0.03127		96629 : 0.03371
4	0.05	77.35		12.4		22222 : 0.77778		15047 : 0.84953

table pour les couples non equivalents
u 	eb		esp 	ecart type		#couple < 65.9		#couple < 63.6
2	0.08	90.54		4.53		0					0
2	0.09	90.57		4.52		0					0
2	0.10	90.63		4.53		0					0
3	0.06	90.63		4.53		0					0
3	0.07	90.69		4.52		0					0
3	0.04	90.47		4.54		0					0
4	0.05	90.74		4.52		0					0

